,is_jagged,grid_dim,cell_match,exact_match,matching_non_zero
00576224,False,False,0.0,False,0.0
009d5c81,False,False,0.0,False,0.0
00dbd492,False,False,0.0,False,0.0
03560426,True,False,0.0,False,0.0
05a7bcf2,False,False,0.0,False,0.0
0607ce86,False,True,0.7178030303030303,False,0.6
0692e18c,False,False,0.0,False,0.0
070dd51e,False,False,0.0,False,0.0
08573cc6,False,True,0.46745562130177515,False,0.011111111111111112
0934a4d8,False,False,0.0,False,0.0
09c534e7,False,False,0.0,False,0.0
0a1d4ef5,False,False,0.0,False,0.0
0a2355a6,False,False,0.0,False,0.0
0b17323b,False,False,0.0,False,0.0
