,is_jagged,grid_dim,cell_match,exact_match,matching_non_zero
00576224,False,True,0.3333333333333333,False,0.3333333333333333
009d5c81,False,False,0.0,False,0.0
00dbd492,True,False,0.0,False,0.0
03560426,False,True,0.71,False,0.0
05a7bcf2,True,False,0.0,False,0.0
0607ce86,True,False,0.0,False,0.0
0692e18c,False,False,0.0,False,0.0
070dd51e,True,False,0.0,False,0.0
08573cc6,False,False,0.0,False,0.0
0934a4d8,True,False,0.0,False,0.0
09c534e7,True,False,0.0,False,0.0
0a1d4ef5,False,False,0.0,False,0.0
0a2355a6,False,False,0.0,False,0.0
0b17323b,False,False,0.0,False,0.0
0bb8deee,False,False,0.0,False,0.0
0becf7df,False,True,0.79,False,0.4074074074074074
0c786b71,False,False,0.0,False,0.0
0c9aba6e,False,False,0.0,False,0.0
0d87d2a6,True,False,0.0,False,0.0
0e671a1a,False,True,0.8698224852071006,False,0.2916666666666667
0f63c0b9,False,False,0.0,False,0.0
103eff5b,False,False,0.0,False,0.0
11e1fe23,False,False,0.0,False,0.0
12422b43,False,True,0.8571428571428571,False,0.5
12997ef3,False,False,0.0,False,0.0
12eac192,False,True,0.28125,False,0.1875
136b0064,False,False,0.0,False,0.0
13713586,True,False,0.0,False,0.0
137f0df0,False,True,0.45,False,0.375
140c817e,False,False,0.0,False,0.0
14754a24,True,False,0.0,False,0.0
15113be4,True,False,0.0,False,0.0
15663ba9,False,False,0.0,False,0.0
15696249,False,True,0.48148148148148145,False,0.1111111111111111
16b78196,True,False,0.0,False,0.0
17b80ad2,False,False,0.0,False,0.0
17cae0c1,False,True,0.0,False,0.0
18419cfa,True,False,0.0,False,0.0
184a9768,True,False,0.0,False,0.0
195ba7dc,False,False,0.0,False,0.0
1990f7a8,True,False,0.0,False,0.0
19bb5feb,False,True,0.0,False,0.0
1a2e2828,False,False,0.0,False,0.0
1a6449f1,False,False,0.0,False,0.0
1acc24af,True,False,0.0,False,0.0
1c02dbbe,False,False,0.0,False,0.0
1c0d0a4b,False,True,0.7159763313609467,False,0.3
1c56ad9f,True,False,0.0,False,0.0
1d0a4b61,True,False,0.0,False,0.0
1d398264,False,False,0.0,False,0.0
1da012fc,True,False,0.0,False,0.0
1e81d6f9,False,True,0.9777777777777777,False,0.9696969696969697
1e97544e,True,False,0.0,False,0.0
2037f2c7,False,False,0.0,False,0.0
2072aba6,False,True,0.5555555555555556,False,0.0
20818e16,False,False,0.0,False,0.0
20981f0e,False,False,0.0,False,0.0
212895b5,True,False,0.0,False,0.0
21f83797,False,False,0.0,False,0.0
22a4bbc2,False,True,0.7386363636363636,False,0.6567164179104478
25094a63,False,False,0.0,False,0.0
2546ccf6,True,False,0.0,False,0.0
256b0a75,True,False,0.0,False,0.0
2685904e,False,True,0.87,False,0.6470588235294118
2697da3f,False,False,0.0,False,0.0
2753e76c,False,False,0.0,False,0.0
27a77e38,False,True,0.9876543209876543,False,0.9782608695652174
27f8ce4f,False,False,0.0,False,0.0
281123b4,False,True,0.25,False,0.25
292dd178,False,True,0.8727272727272727,False,0.8727272727272727
29700607,False,False,0.0,False,0.0
2a5f8217,False,False,0.0,False,0.0
2b01abd0,False,False,0.0,False,0.0
2c0b0aff,True,False,0.0,False,0.0
2c737e39,False,True,0.9,False,0.47368421052631576
2f0c5170,False,False,0.0,False,0.0
310f3251,False,False,0.0,False,0.0
3194b014,False,False,0.0,False,0.0
319f2597,True,False,0.0,False,0.0
31adaf00,False,True,0.61,False,0.49230769230769234
31d5ba1a,False,False,0.0,False,0.0
32e9702f,False,True,0.83,False,0.83
332efdb3,False,True,0.21487603305785125,False,0.0625
3391f8c0,False,False,0.0,False,0.0
33b52de3,False,False,0.0,False,0.0
3490cc26,True,False,0.0,False,0.0
34b99a2b,False,False,0.0,False,0.0
351d6448,True,False,0.0,False,0.0
358ba94e,False,True,0.0,False,0.0
37d3e8b2,True,False,0.0,False,0.0
3979b1a8,False,False,0.0,False,0.0
3a301edc,False,False,0.0,False,0.0
3b4c2228,True,False,0.0,False,0.0
3d31c5b3,False,False,0.0,False,0.0
3ed85e70,True,False,0.0,False,0.0
3ee1011a,True,False,0.0,False,0.0
3f23242b,False,False,0.0,False,0.0
40f6cd08,True,False,0.0,False,0.0
414297c0,True,False,0.0,False,0.0
423a55dc,False,True,0.7972027972027972,False,0.3333333333333333
42918530,True,False,0.0,False,0.0
42a15761,False,True,0.9617224880382775,False,0.9733333333333334
4364c1c4,False,False,0.0,False,0.0
456873bc,False,False,0.0,False,0.0
45737921,False,False,0.0,False,0.0
45bbe264,False,False,0.0,False,0.0
477d2879,False,True,0.10059171597633136,False,0.10059171597633136
47996f11,False,False,0.0,False,0.0
48131b3c,False,False,0.0,False,0.0
4852f2fa,False,False,0.0,False,0.0
48f8583b,False,True,0.5802469135802469,False,0.3055555555555556
4aab4007,True,False,0.0,False,0.0
4acc7107,False,True,0.57,False,0.0
4b6b68e5,True,False,0.0,False,0.0
4c177718,False,False,0.0,False,0.0
4cd1b7b2,False,True,0.3125,False,0.3125
4e45f183,False,False,0.0,False,0.0
4e469f39,False,True,0.8,False,0.5
4f537728,True,False,0.0,False,0.0
4ff4c9da,True,False,0.0,False,0.0
505fff84,True,False,0.0,False,0.0
506d28a5,False,True,0.6,False,0.8571428571428571
50a16a69,False,True,0.0,False,0.0
50aad11f,False,False,0.0,False,0.0
50f325b5,False,True,0.9522058823529411,False,0.9343434343434344
516b51b7,True,False,0.0,False,0.0
5207a7b5,False,False,0.0,False,0.0
5289ad53,True,False,0.0,False,0.0
52fd389e,True,False,0.0,False,0.0
54db823b,False,False,0.0,False,0.0
55059096,False,False,0.0,False,0.0
551d5bf1,True,False,0.0,False,0.0
55783887,True,False,0.0,False,0.0
575b1a71,False,True,0.93,False,0.93
5783df64,False,False,0.0,False,0.0
5833af48,False,False,0.0,False,0.0
58743b76,False,True,0.9285714285714286,False,0.8
58e15b12,True,False,0.0,False,0.0
59341089,False,True,0.3333333333333333,False,0.3333333333333333
5a5a2103,False,False,0.0,False,0.0
5af49b42,False,False,0.0,False,0.0
5b526a93,False,False,0.0,False,0.0
5b692c0f,False,False,0.0,False,0.0
5b6cbef5,False,False,0.0,False,0.0
5d2a5c43,False,False,0.0,False,0.0
5ffb2104,False,True,0.59,False,0.0
604001fa,True,False,0.0,False,0.0
60a26a3e,False,False,0.0,False,0.0
60c09cac,False,False,0.0,False,0.0
626c0bcc,False,True,0.04081632653061224,False,0.125
62ab2642,False,False,0.0,False,0.0
62b74c02,False,True,0.2857142857142857,False,0.2857142857142857
639f5a19,False,False,0.0,False,0.0
642248e4,False,False,0.0,False,0.0
642d658d,False,True,1.0,True,1.0
64a7c07e,False,False,0.0,False,0.0
66e6c45b,False,True,0.6875,False,0.25
66f2d22f,False,False,0.0,False,0.0
67636eac,False,False,0.0,False,0.0
67b4a34d,False,True,0.1875,False,0.1875
67c52801,False,False,0.0,False,0.0
68b67ca3,False,False,0.0,False,0.0
692cd3b6,False,False,0.0,False,0.0
695367ec,True,False,0.0,False,0.0
696d4842,True,False,0.0,False,0.0
69889d6e,False,True,0.85,False,0.16666666666666666
6a11f6da,False,True,0.32,False,0.34782608695652173
6ad5bdfd,False,True,0.69,False,0.46875
6df30ad6,False,True,0.88,False,0.0
6ea4a07e,False,True,0.0,False,0.0
6f473927,True,False,0.0,False,0.0
7039b2d7,True,False,0.0,False,0.0
705a3229,False,True,0.8579545454545454,False,0.13793103448275862
712bf12e,False,True,0.4378698224852071,False,0.1038961038961039
72207abc,False,True,0.9425287356321839,False,0.375
72a961c9,False,True,0.8080808080808081,False,0.24
73182012,False,False,0.0,False,0.0
73c3b0d8,False,True,0.71875,False,0.0
73ccf9c2,True,False,0.0,False,0.0
759f3fd3,False,False,0.0,False,0.0
762cd429,False,False,0.0,False,0.0
770cc55f,False,False,0.0,False,0.0
782b5218,False,True,0.38,False,0.21052631578947367
79369cc6,False,True,0.925,False,0.8959537572254336
7953d61e,False,False,0.0,False,0.0
79fb03f4,True,False,0.0,False,0.0
7bb29440,True,False,0.0,False,0.0
7c8af763,False,True,0.51,False,0.51
7c9b52a0,False,False,0.0,False,0.0
7d18a6fb,True,False,0.0,False,0.0
7d1f7ee8,True,False,0.0,False,0.0
7d419a02,False,False,0.0,False,0.0
7e02026e,False,False,0.0,False,0.0
7ee1c6ea,False,True,0.71,False,0.65
817e6c09,False,True,0.8476190476190476,False,0.42857142857142855
81c0276b,True,False,0.0,False,0.0
833dafe3,True,False,0.0,False,0.0
845d6e51,False,False,0.0,False,0.0
84db8fc4,False,True,0.29,False,0.29
84f2aca1,True,False,0.0,False,0.0
8597cfd7,False,True,0.0,False,0.0
85b81ff1,False,True,0.9010989010989011,False,0.9217391304347826
85fa5666,False,False,0.0,False,0.0
8719f442,False,False,0.0,False,0.0
88207623,True,False,0.0,False,0.0
891232d6,True,False,0.0,False,0.0
896d5239,False,False,0.0,False,0.0
8a371977,True,False,0.0,False,0.0
8b28cd80,False,False,0.0,False,0.0
8ba14f53,False,False,0.0,False,0.0
8cb8642d,True,False,0.0,False,0.0
8dae5dfc,False,False,0.0,False,0.0
8e2edd66,False,False,0.0,False,0.0
8ee62060,False,False,0.0,False,0.0
8fbca751,False,True,0.7395833333333334,False,0.4791666666666667
90347967,False,True,0.8148148148148148,False,0.0
903d1b4a,False,True,0.25,False,0.25
9110e3c5,False,False,0.0,False,0.0
917bccba,False,True,0.9444444444444444,False,0.7777777777777778
929ab4e9,False,False,0.0,False,0.0
92e50de0,True,False,0.0,False,0.0
9356391f,False,False,0.0,False,0.0
93b4f4b3,True,False,0.0,False,0.0
93c31fbe,True,False,0.0,False,0.0
94133066,True,False,0.0,False,0.0
94414823,False,True,0.84,False,0.5789473684210527
94be5b80,True,False,0.0,False,0.0
95a58926,True,False,0.0,False,0.0
963f59bc,False,True,0.9464285714285714,False,0.42857142857142855
96a8c0cd,True,False,0.0,False,0.0
97239e3d,False,False,0.0,False,0.0
9772c176,True,False,0.0,False,0.0
981571dc,False,False,0.0,False,0.0
992798f6,False,False,0.0,False,0.0
99306f82,True,False,0.0,False,0.0
9a4bb226,False,False,0.0,False,0.0
9b2a60aa,True,False,0.0,False,0.0
9b365c51,False,False,0.0,False,0.0
9b4c17c4,False,True,0.7272727272727273,False,0.7272727272727273
9bebae7a,False,False,0.0,False,0.0
9c1e755f,False,False,0.0,False,0.0
9c56f360,False,True,0.8271604938271605,False,0.8292682926829268
9caba7c3,False,False,0.0,False,0.0
9ddd00f0,False,False,0.0,False,0.0
9def23fe,True,False,0.0,False,0.0
