,is_jagged,grid_dim,cell_match,exact_match,matching_non_zero
00576224,False,True,1.0,True,1.0
009d5c81,False,True,0.8367346938775511,False,0.0
00dbd492,False,True,0.69,False,0.4722222222222222
03560426,False,True,0.72,False,0.21428571428571427
05a7bcf2,False,False,0.0,False,0.0
0607ce86,False,False,0.0,False,0.0
0692e18c,False,True,0.30864197530864196,False,0.0
070dd51e,False,False,0.0,False,0.0
08573cc6,False,False,0.0,False,0.0
0934a4d8,True,False,0.0,False,0.0
09c534e7,False,False,0.0,False,0.0
0a1d4ef5,False,False,0.0,False,0.0
0a2355a6,True,False,0.0,False,0.0
0b17323b,False,True,0.9688888888888889,False,0.6
0bb8deee,False,False,0.0,False,0.0
0becf7df,False,True,0.8,False,0.25925925925925924
0c786b71,False,False,0.0,False,0.0
0c9aba6e,False,False,0.0,False,0.0
0d87d2a6,False,True,0.7060869565217391,False,0.12886597938144329
0e671a1a,False,True,0.8994082840236687,False,0.4166666666666667
0f63c0b9,False,True,0.6444444444444445,False,0.37962962962962965
103eff5b,False,False,0.0,False,0.0
11e1fe23,True,False,0.0,False,0.0
12422b43,False,False,0.0,False,0.0
12997ef3,False,False,0.0,False,0.0
12eac192,False,True,0.734375,False,0.5
136b0064,False,False,0.0,False,0.0
13713586,False,False,0.0,False,0.0
137f0df0,False,True,0.62,False,0.525
140c817e,False,False,0.0,False,0.0
14754a24,False,True,0.8975069252077562,False,0.8689320388349514
15113be4,False,True,0.9678638941398866,False,0.953757225433526
15663ba9,False,False,0.0,False,0.0
15696249,False,True,0.6666666666666666,False,0.0
16b78196,True,False,0.0,False,0.0
17b80ad2,False,False,0.0,False,0.0
17cae0c1,False,True,0.0,False,0.0
18419cfa,False,False,0.0,False,0.0
184a9768,False,False,0.0,False,0.0
195ba7dc,False,False,0.0,False,0.0
1990f7a8,False,False,0.0,False,0.0
19bb5feb,False,True,0.0,False,0.0
1a2e2828,True,False,0.0,False,0.0
1a6449f1,False,False,0.0,False,0.0
1acc24af,True,False,0.0,False,0.0
1c02dbbe,False,True,0.5333333333333333,False,0.4260355029585799
1c0d0a4b,False,True,0.5207100591715976,False,0.0
1c56ad9f,False,True,0.84,False,0.6170212765957447
1d0a4b61,True,False,0.0,False,0.0
1d398264,False,False,0.0,False,0.0
1da012fc,False,False,0.0,False,0.0
1e81d6f9,False,True,0.8533333333333334,False,0.0
1e97544e,False,True,0.8620037807183365,False,0.8620037807183365
2037f2c7,False,False,0.0,False,0.0
2072aba6,False,True,0.6666666666666666,False,0.75
20818e16,False,False,0.0,False,0.0
20981f0e,False,False,0.0,False,0.0
212895b5,False,False,0.0,False,0.0
21f83797,False,True,0.5266272189349113,False,0.0375
22a4bbc2,False,True,0.5340909090909091,False,0.40298507462686567
25094a63,False,False,0.0,False,0.0
2546ccf6,False,True,0.9765886287625418,False,0.9345794392523364
256b0a75,False,True,0.4938461538461538,False,0.08169014084507042
2685904e,False,True,0.87,False,0.6470588235294118
2697da3f,False,False,0.0,False,0.0
2753e76c,False,False,0.0,False,0.0
27a77e38,False,True,0.9753086419753086,False,0.9782608695652174
27f8ce4f,False,False,0.0,False,0.0
281123b4,False,False,0.0,False,0.0
292dd178,False,True,0.8727272727272727,False,0.8727272727272727
29700607,False,True,0.7024793388429752,False,0.8648648648648649
2a5f8217,True,False,0.0,False,0.0
2b01abd0,False,False,0.0,False,0.0
2c0b0aff,False,False,0.0,False,0.0
2c737e39,False,False,0.0,False,0.0
2f0c5170,False,False,0.0,False,0.0
310f3251,False,False,0.0,False,0.0
3194b014,False,True,0.0,False,0.0
319f2597,False,True,0.0925,False,0.11144578313253012
31adaf00,False,True,0.35,False,0.0
31d5ba1a,False,False,0.0,False,0.0
32e9702f,False,True,0.84,False,0.84
332efdb3,False,False,0.0,False,0.0
3391f8c0,False,True,0.7662337662337663,False,0.0
33b52de3,False,True,0.7542533081285444,False,0.2875
3490cc26,False,True,0.9011857707509882,False,0.4897959183673469
34b99a2b,False,True,0.45,False,0.5555555555555556
351d6448,False,True,0.41025641025641024,False,0.24
358ba94e,False,True,0.84,False,1.0
37d3e8b2,False,True,0.7222222222222222,False,0.375
3979b1a8,False,False,0.0,False,0.0
3a301edc,False,False,0.0,False,0.0
3b4c2228,False,True,1.0,True,1.0
3d31c5b3,False,True,0.4444444444444444,False,0.5
3ed85e70,False,False,0.0,False,0.0
3ee1011a,False,False,0.0,False,0.0
3f23242b,True,False,0.0,False,0.0
40f6cd08,False,False,0.0,False,0.0
414297c0,False,False,0.0,False,0.0
423a55dc,False,False,0.0,False,0.0
42918530,False,False,0.0,False,0.0
42a15761,False,False,0.0,False,0.0
4364c1c4,True,False,0.0,False,0.0
456873bc,False,True,0.7590027700831025,False,0.7
45737921,False,True,0.7361111111111112,False,0.2222222222222222
45bbe264,True,False,0.0,False,0.0
477d2879,False,True,0.0650887573964497,False,0.0650887573964497
47996f11,False,False,0.0,False,0.0
48131b3c,False,True,0.0625,False,0.1
4852f2fa,False,False,0.0,False,0.0
48f8583b,False,True,0.48148148148148145,False,0.0
4aab4007,False,False,0.0,False,0.0
4acc7107,False,True,0.67,False,0.043478260869565216
4b6b68e5,False,True,0.7019230769230769,False,0.37906137184115524
4c177718,True,False,0.0,False,0.0
4cd1b7b2,False,True,0.125,False,0.125
4e45f183,False,True,0.8393351800554016,False,0.7422222222222222
4e469f39,False,True,0.6,False,0.0
4f537728,False,True,0.895,False,0.7692307692307693
4ff4c9da,False,False,0.0,False,0.0
505fff84,False,False,0.0,False,0.0
506d28a5,False,False,0.0,False,0.0
50a16a69,False,True,0.6944444444444444,False,0.6944444444444444
50aad11f,False,False,0.0,False,0.0
50f325b5,False,True,0.9485294117647058,False,0.9292929292929293
516b51b7,True,False,0.0,False,0.0
5207a7b5,False,False,0.0,False,0.0
5289ad53,False,True,0.8333333333333334,False,0.8333333333333334
